strata,upm,wt,post_class1,post_class2,post_class3,post_class4,post_class5,post_class6,modal_class,max_posterior
102,72,1,9.540047616967157e-20,5.896262544384267e-18,0.01307322300592921,0.9868189084935545,1.0786850051519368e-4,1.0672941946589852e-15,4,0.9868189084935545
103,38,1,0.01216759910571257,1.902391349833632e-23,3.4213603626313517e-18,0.038086849875808494,0.9497455510184807,1.766848902759678e-60,5,0.9497455510184807
102,37,1,0.006641660715708735,3.853215805966043e-23,5.007579032180368e-6,0.09847117486113513,0.8948821568441244,9.99954317446385e-50,5,0.8948821568441244
103,38,1,8.845163932427651e-7,4.870980922775259e-37,0.06189997246718909,0.001128381952379142,0.9369707610640383,3.772101698207412e-47,5,0.9369707610640383
103,52,1,8.420052520885696e-14,2.6536271812271144e-21,3.721626699430571e-18,0.08707240722390565,0.9129275927760098,1.4754725336769541e-72,5,0.9129275927760098
103,95,1,6.698001923755793e-7,7.782554180465004e-8,0.004266411575303572,0.9950666197081794,8.963334338785867e-10,6.662201944483574e-4,4,0.9950666197081794
103,48,1,3.669380068130587e-46,4.407339869050197e-5,1.8084855204098128e-15,0.08960320888119949,4.538316194980522e-21,0.910352717720108,6,0.910352717720108
103,52,1,0.0019581185840860426,2.329887400903946e-8,7.330764524983986e-17,0.9298484136054634,0.0681934445115769,1.7982240970470156e-57,4,0.9298484136054634
103,80,1,8.851068505616427e-21,1.94591435712491e-8,0.42064521978063574,0.04160865644778533,1.33859473997386e-11,0.5377461042990501,6,0.5377461042990501
102,32,1,1.140441981935849e-25,0.9999998228008279,1.628058815873605e-78,9.012760453213522e-9,2.88712220819702e-79,1.681864113626517e-7,2,0.9999998228008279
103,42,1,2.2165114895380852e-51,0.02860658972832259,3.006068186983672e-9,3.2396921823825913e-4,1.0729971759601012e-43,0.9710694380473724,6,0.9710694380473724
103,38,1,1.2373619712072275e-7,3.626236706900402e-21,0.4694822779094139,0.5170560322250457,0.013461566129344694,2.593466407799988e-30,4,0.5170560322250457
102,72,1,0.02988657443661433,2.5950679948339436e-10,5.719766274926882e-29,0.016655981743512988,0.9534574435603652,1.054375435104852e-34,5,0.9534574435603652
103,95,1,1.0008254317760351e-6,2.6348319894658022e-48,0.005551431724541502,0.07868744547938217,0.9157601219706434,3.763957978187535e-21,5,0.9157601219706434
103,95,1,1.6001344229843178e-19,5.499157585096391e-39,0.07355908911615276,0.0048975582667213505,0.92154335261712494,1.8793634389611024e-23,5,0.92154335261712494
103,48,1,1.0135837570201587e-6,5.673979258531743e-16,6.726666195322703e-30,0.999998986416243,5.457963803242259e-31,2.4970832991828705e-16,4,0.999998986416243
103,128,1,6.2683264989587355e-52,5.57266745675833e-5,1.0399556714058735e-8,2.2077473038747373e-4,1.5553287924678632e-16,0.9997234881954885,6,0.9997234881954885
103,42,1,1.0486291872066001e-38,2.0445127175648957e-8,0.0010701200733485854,9.923852578681348e-4,1.395166504974091e-10,0.9979374740841388,6,0.9979374740841388
102,72,1,5.609420050736887e-10,4.678942094046772e-13,0.9320689765085863,0.015564822955304605,0.05236618850468126,1.1470016940915066e-8,3,0.9320689765085863
103,52,1,0.09907188219266881,5.61741460409104e-21,3.1406372506185203e-5,0.34794611954828847,0.552950591886536,1.8698168490047542e-58,5,0.552950591886536
103,38,1,0.0052338518343935025,2.9651062046711955e-49,7.989895485255578e-19,0.0025506566007765558,0.9922154915648307,3.4773371681522486e-64,5,0.9922154915648307
103,107,1,0.5100928631245276,5.325362937525702e-18,7.554638269486594e-19,0.489907136875415,5.667139985918364e-14,2.991469948132981e-34,1,0.5100928631245276
103,52,1,0.6538160995271478,1.0429898464377212e-23,1.8818842871171909e-19,0.010938148084400544,0.3352457523884528,6.490708985959873e-87,1,0.6538160995271478
103,48,1,2.273980508712657e-33,0.9992379024103697,2.1960615361450453e-70,7.620975896308758e-4,1.0907150349297811e-70,3.4272225058378534e-16,2,0.9992379024103697
103,42,1,7.459023289067972e-46,1.526457149744634e-7,0.7896220069448102,0.21035530207685732,2.2538332613036773e-5,4.115697265072095e-15,3,0.7896220069448102
103,38,1,3.787362235621802e-18,1.0661923901372122e-33,0.15427247383034431,0.8396576078537267,0.006069918315930034,1.047225980360975e-31,4,0.8396576078537267
103,48,1,1.3611634305832037e-14,9.019574744400269e-14,6.958682515473314e-20,0.999999999999897,1.366973329344443e-28,7.36495576712704e-43,4,0.999999999999897
103,102,1,0.09945981476390155,2.089799793148529e-8,4.893188051867523e-18,0.891219526420652,0.009320637917447317,3.1099757457752593e-58,4,0.891219526420652
102,72,1,7.91414329825453e-5,2.392744934436317e-4,7.118360252708888e-29,0.9996815840735743,1.713030245687695e-28,1.322158563827802e-17,4,0.9996815840735743
103,102,1,6.173583133386939e-17,3.373405974533542e-19,0.16306684096719887,0.821607035606879,0.015326123425923216,1.0676217058665382e-28,4,0.821607035606879
103,95,1,1.4164513818075873e-15,1.0830231778217924e-23,1.0581435762044504e-4,0.02980418473784098,0.9700900009045379,3.166802303757365e-73,5,0.9700900009045379
103,102,1,1.1700384170299703e-4,6.131822529522871e-7,0.02578371689672104,0.9704567113396597,0.003641954739664374,1.0422075174981024e-29,4,0.9704567113396597
103,109,1,0.9904023640425506,4.1361325637983816e-33,7.28339166472282e-21,0.00846813586332588,0.0011295000941249703,1.8682437877152809e-72,1,0.9904023640425506
102,61,1,1.1906858043129022e-5,1.9677846454730318e-36,1.679918880562665e-4,0.016799813251469103,0.9830202879978496,4.5815709533234865e-12,5,0.9830202879978496
